displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Drew Brees,NO,28.0,41.0,314.0,2.0,0.0,1.0,0.0,0.0
Peyton Manning,DEN,27.0,40.0,305.0,2.0,1.0,-1.0,0.0,0.0
Andrew Luck,IND,27.0,39.0,301.0,2.0,0.0,20.0,0.0,0.0
Matthew Stafford,DET,24.0,41.0,287.0,1.0,1.0,5.0,0.0,0.0
Josh McCown,TB,22.0,34.0,279.0,1.0,0.0,11.0,0.0,0.0
Tom Brady,NE,24.0,36.0,278.0,1.0,0.0,0.0,0.0,0.0
Matt Ryan,ATL,24.0,38.0,277.0,1.0,1.0,6.0,0.0,0.0
Jay Cutler,CHI,26.0,39.0,275.0,2.0,1.0,15.0,0.0,0.0
Blake Bortles,JAC,22.0,38.0,275.0,1.0,1.0,19.0,0.0,0.0
Ryan Tannehill,MIA,24.0,37.0,272.0,1.0,1.0,15.0,0.0,0.0
Aaron Rodgers,GB,24.0,34.0,264.0,2.0,0.0,13.0,0.0,0.0
Zach Mettenberger,TEN,21.0,33.0,264.0,1.0,1.0,2.0,0.0,0.0
Joe Flacco,BAL,22.0,36.0,263.0,1.0,1.0,4.0,0.0,0.0
Eli Manning,NYG,23.0,39.0,259.0,1.0,1.0,2.0,0.0,0.0
Mark Sanchez,PHI,23.0,38.0,255.0,1.0,1.0,4.0,0.0,0.0
Andy Dalton,CIN,20.0,33.0,253.0,1.0,1.0,9.0,0.0,0.0
Kyle Orton,BUF,23.0,37.0,253.0,1.0,0.0,4.0,0.0,0.0
Philip Rivers,SD,23.0,34.0,252.0,1.0,0.0,3.0,0.0,0.0
Derek Carr,OAK,21.0,38.0,249.0,1.0,0.0,10.0,0.0,0.0
Robert Griffin III,WAS,21.0,33.0,245.0,1.0,1.0,33.0,0.0,0.0
Tony Romo,DAL,22.0,33.0,241.0,2.0,0.0,4.0,0.0,0.0
Teddy Bridgewater,MIN,19.0,33.0,240.0,0.0,1.0,15.0,0.0,0.0
Shaun Hill,STL,20.0,33.0,239.0,1.0,0.0,8.0,0.0,0.0
Drew Stanton,ARI,21.0,34.0,237.0,1.0,0.0,15.0,0.0,0.0
Brian Hoyer,CLE,22.0,37.0,236.0,1.0,1.0,0.0,0.0,0.0
Ryan Mallett,HOU,20.0,35.0,228.0,1.0,1.0,3.0,0.0,0.0
Russell Wilson,SEA,18.0,29.0,224.0,1.0,0.0,47.0,0.0,0.0
Michael Vick,NYJ,19.0,32.0,220.0,0.0,1.0,41.0,0.0,0.0
Colin Kaepernick,SF,19.0,29.0,219.0,1.0,0.0,41.0,0.0,0.0
Alex Smith,KC,18.0,27.0,198.0,1.0,0.0,17.0,0.0,0.0
Kellen Clemens,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke McCown,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Cassel,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Campbell,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Anderson,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Garrard,NYJ,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
Rex Grossman,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carson Palmer,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Schaub,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarvaris Jackson,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Orlovsky,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Whitehurst,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Hasselbeck,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
