displayName,team,xp,fg
Stephen Gostkowski,NE,2.9,2.0
Matt Bryant,ATL,2.8,2.0
Nick Folk,NYJ,2.3,2.0
Chandler Catanzaro,ARI,2.2,2.0
Steven Hauschka,SEA,2.2,2.0
Phil Dawson,SF,1.4,2.0
Matt Prater,DET,2.8,1.9
Brandon McManus,DEN,2.7,1.9
Caleb Sturgis,PHI,2.3,1.9
Blair Walsh,MIN,2.1,1.9
Justin Tucker,BAL,2.0,1.9
Mike Nugent,CIN,2.1,1.8
Josh Brown,NYG,2.0,1.8
Jason Myers,JAC,2.0,1.8
Nick Novak,HOU,2.0,1.8
Dan Carpenter,BUF,1.9,1.8
Cairo Santos,KC,2.0,1.7
Josh Lambo,SD,1.9,1.7
Dustin Hopkins,WAS,1.3,1.7
Graham Gano,CAR,1.2,1.7
Zach Hocker,NO,2.6,1.6
Robbie Gould,CHI,1.9,1.6
Mason Crosby,GB,3.0,1.4
Andrew Franks,MIA,1.9,1.4
Adam Vinatieri,IND,2.7,1.3
Ryan Succop,TEN,2.0,1.3
Travis Coons,CLE,1.9,1.2
Chris Boswell,PIT,1.3,1.2
Connor Barth,TB,0.0,0.0
Patrick Murray,TB,0.0,0.0
Jordan Gay,BUF,0.0,0.0
Greg Zuerlein,STL,0.0,0.0
Garrett Hartley,PIT,0.0,0.0
Sebastian Janikowski,OAK,0.0,0.0
Josh Scobee,PIT,0.0,0.0
Shaun Suisham,PIT,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
Dan Bailey,DAL,0.0,0.0
Kai Forbath,WAS,0.0,0.0
Giorgio Tavecchio,OAK,0.0,0.0
Jay Feely,CHI,0.0,0.0
