displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
DeMarco Murray,DAL,21.0,112.0,1.0,3.0,29.0,0.0,0.0
LeSean McCoy,PHI,22.0,105.0,1.0,3.0,11.0,0.0,0.0
Denard Robinson,JAC,19.0,96.0,1.0,2.0,10.0,0.0,0.0
Marshawn Lynch,SEA,20.0,93.0,1.0,3.0,35.0,0.0,0.0
Jeremy Hill,CIN,21.0,89.0,1.0,3.0,16.0,0.0,0.0
Matt Forte,CHI,18.0,83.0,1.0,6.0,46.0,0.0,0.0
Ronnie Hillman,DEN,17.0,80.0,1.0,4.0,25.0,0.0,0.0
Justin Forsett,BAL,17.0,79.0,0.0,3.0,23.0,0.0,0.0
Mark Ingram,NO,19.0,79.0,1.0,1.0,4.0,0.0,0.0
Jamaal Charles,KC,18.0,78.0,1.0,4.0,29.0,0.0,0.0
Eddie Lacy,GB,17.0,76.0,1.0,3.0,18.0,0.0,0.0
Andre Ellington,ARI,18.0,74.0,1.0,4.0,34.0,0.0,0.0
Bobby Rainey,TB,16.0,72.0,1.0,2.0,18.0,0.0,0.0
LeVeon Bell,PIT,16.0,64.0,1.0,4.0,32.0,0.0,0.0
Terrance West,CLE,15.0,63.0,1.0,3.0,15.0,0.0,0.0
Lamar Miller,MIA,15.0,62.0,0.0,3.0,24.0,0.0,0.0
Tre Mason,STL,15.0,56.0,0.0,1.0,7.0,0.0,0.0
Frank Gore,SF,16.0,56.0,0.0,1.0,7.0,0.0,0.0
Chris Ivory,NYJ,13.0,55.0,1.0,1.0,5.0,0.0,0.0
Steven Jackson,ATL,14.0,53.0,1.0,1.0,5.0,0.0,0.0
Jonathan Stewart,CAR,12.0,52.0,0.0,2.0,18.0,0.0,0.0
Joique Bell,DET,13.0,51.0,0.0,2.0,12.0,0.0,0.0
Chris Johnson,NYJ,11.0,51.0,0.0,3.0,21.0,0.0,0.0
Andre Williams,NYG,15.0,50.0,0.0,1.0,6.0,0.0,0.0
Fred Jackson,BUF,12.0,47.0,0.0,3.0,23.0,0.0,0.0
DeAngelo Williams,CAR,11.0,45.0,0.0,2.0,10.0,0.0,0.0
Darren McFadden,OAK,13.0,45.0,0.0,4.0,28.0,0.0,0.0
Bishop Sankey,TEN,11.0,39.0,0.0,3.0,16.0,0.0,0.0
Charles Sims,TB,7.0,34.0,0.0,3.0,16.0,0.0,0.0
LeGarrette Blount,NE,8.0,32.0,0.0,1.0,5.0,0.0,0.0
Isaiah Crowell,CLE,7.0,28.0,0.0,2.0,12.0,0.0,0.0
Knile Davis,KC,7.0,27.0,0.0,2.0,13.0,0.0,0.0
Devonta Freeman,ATL,6.0,27.0,0.0,3.0,16.0,0.0,0.0
Lorenzo Taliaferro,BAL,7.0,27.0,1.0,1.0,11.0,0.0,0.0
Bryce Brown,BUF,6.0,23.0,0.0,2.0,12.0,0.0,0.0
Anthony Dixon,BUF,6.0,23.0,0.0,2.0,7.0,0.0,0.0
