displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Matt Ryan,ATL,25.0,36.0,334.0,2.0,1.0,6.0,0.0,0.0
Drew Brees,NO,26.0,38.0,294.0,2.0,0.0,1.0,0.0,0.0
Peyton Manning,DEN,27.0,36.0,285.0,2.0,0.0,-1.0,0.0,0.0
Derek Carr,OAK,24.0,41.0,278.0,1.0,1.0,9.0,0.0,0.0
Aaron Rodgers,GB,25.0,35.0,277.0,2.0,0.0,15.0,0.0,0.0
Matthew Stafford,DET,24.0,40.0,275.0,1.0,1.0,6.0,0.0,0.0
Ben Roethlisberger,PIT,26.0,36.0,272.0,2.0,0.0,5.0,0.0,0.0
Jay Cutler,CHI,23.0,35.0,271.0,1.0,1.0,17.0,0.0,0.0
Zach Mettenberger,TEN,23.0,37.0,262.0,1.0,1.0,2.0,0.0,0.0
Mark Sanchez,PHI,25.0,38.0,257.0,2.0,1.0,4.0,0.0,0.0
Michael Vick,NYJ,21.0,35.0,256.0,1.0,1.0,43.0,0.0,0.0
Joe Flacco,BAL,22.0,34.0,256.0,1.0,0.0,5.0,0.0,0.0
Kyle Orton,BUF,21.0,33.0,251.0,1.0,0.0,6.0,0.0,0.0
Austin Davis,STL,20.0,35.0,251.0,1.0,1.0,8.0,0.0,0.0
Andy Dalton,CIN,21.0,33.0,249.0,1.0,1.0,10.0,0.0,0.0
Josh McCown,TB,21.0,36.0,247.0,1.0,0.0,10.0,0.0,0.0
Cam Newton,CAR,20.0,33.0,246.0,1.0,0.0,33.0,0.0,0.0
Colin Kaepernick,SF,22.0,34.0,245.0,1.0,0.0,41.0,0.0,0.0
Tony Romo,DAL,21.0,32.0,243.0,1.0,0.0,3.0,0.0,0.0
Ryan Tannehill,MIA,23.0,37.0,241.0,1.0,1.0,19.0,0.0,0.0
Brian Hoyer,CLE,21.0,36.0,240.0,1.0,1.0,3.0,0.0,0.0
Eli Manning,NYG,24.0,39.0,238.0,1.0,0.0,2.0,0.0,0.0
Blake Bortles,JAC,22.0,37.0,234.0,1.0,1.0,25.0,0.0,0.0
Carson Palmer,ARI,21.0,33.0,233.0,1.0,0.0,1.0,0.0,0.0
Alex Smith,KC,22.0,32.0,221.0,1.0,0.0,14.0,0.0,0.0
Russell Wilson,SEA,18.0,28.0,206.0,1.0,0.0,43.0,0.0,0.0
Matt Schaub,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Anderson,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Barkley,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Brady,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Manziel,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarvaris Jackson,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaun Hill,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Campbell,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Bradford,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rex Grossman,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke McCown,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Orlovsky,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Whitehurst,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Gradkowski,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Stanton,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Garrard,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
