"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"BRYCEPETTY","Bryce Petty","QB","NYJ",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"CHASEDANIEL","Chase Daniel","QB","KC",1,1,0.1,0.1,0.7,0,0,63.6,4.8,0.1,0.3,3.3,0,NA,NA,NA,NA,NA,0,0
"TJYATES","T.J. Yates","QB","HOU",1,1,0.1,0.1,0.6,0,0,58.7,5.6,0,0,2,0,NA,NA,NA,NA,NA,0,0
"DEREKANDERSON","Derek Anderson","QB","CAR",1,1,0.2,0.1,1.5,0,0,61.3,6.8,0.1,0.2,2.2,0,NA,NA,NA,NA,NA,0,0
"GENOSMITH","Geno Smith","QB","NYJ",1,1,0.6,0.4,4.1,0,0,58.6,6.6,0.1,0.7,5.6,0,NA,NA,NA,NA,NA,0,0
"JOEFLACCO","Joe Flacco","QB","BAL",1,1,37.3,23.7,274,2,0.7,63.5,7.3,1.8,3.2,1.7,0.3,NA,NA,NA,NA,NA,0.2,0
"AUSTINDAVIS","Austin Davis","QB","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"ANDYDALTON","Andy Dalton","QB","CIN",1,1,31.6,20.2,259,2,0.9,63.9,8.2,4.5,11.2,2.5,0.2,NA,NA,NA,NA,NA,0.2,0
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",1,1,36.5,23.9,269,1.3,1.1,65.5,7.4,2.4,10,4.3,0,NA,NA,NA,NA,NA,0.3,0
"LANDRYJONES","Landry Jones","QB","PIT",1,1,37.5,22,268,1.7,1.1,58.7,7.1,1.8,8.4,4.6,0.1,NA,NA,NA,NA,NA,0.2,0
"ALEXSMITH","Alex Smith","QB","KC",1,1,32.5,20.5,187,1.2,0.6,63.1,5.8,4.3,22.7,5.3,0.1,NA,NA,NA,NA,NA,0.2,0
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",1,1,0.6,0.4,4.8,0,0,63.8,7.6,0.2,1.1,5.5,0,NA,NA,NA,NA,NA,0,0
"TARVARISJACKSON","Tarvaris Jackson","QB","SEA",1,1,0.1,0,0.4,0,0,66,8.6,0,0,1,0,NA,NA,NA,NA,NA,0,0
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",1,1,39.6,22.7,272,1.3,1.3,57.3,6.9,2.1,8.2,3.9,0.1,NA,NA,NA,NA,NA,0.2,0
"THADLEWIS","Thad Lewis","QB","PHI",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"TREVORSIEMIAN","Trevor Siemian","QB","DEN",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"TYRODTAYLOR","Tyrod Taylor","QB","BUF",1,1,29.6,19.6,232,1.3,0.6,66.2,7.8,6.3,29.6,4.7,0.2,NA,NA,NA,NA,NA,0.2,0
"DREWBREES","Drew Brees","QB","NO",1,1,40.8,29.9,357,1.8,0.9,73.3,8.8,1.7,2.4,1.4,0.1,NA,NA,NA,NA,NA,0.4,0
"RYANNASSIB","Ryan Nassib","QB","NYG",1,1,0,0,0.4,0,0,68.3,8.9,0,0,2,0,NA,NA,NA,NA,NA,0,0
"JAMEISWINSTON","Jameis Winston","QB","TB",1,1,33.2,19.2,232,1.5,1.3,57.8,7,3.1,12.4,4,0.4,NA,NA,NA,NA,NA,0.2,0
"DANORLOVSKY","Dan Orlovsky","QB","DET",1,1,0.1,0.1,0.7,0,0,54.2,6.3,0,0,4,0,NA,NA,NA,NA,NA,0,0
