"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"BRYCEPETTY","Bryce Petty","QB","NYJ",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"DEREKANDERSON","Derek Anderson","QB","CAR",1,1,0.2,0.1,1.5,0,0,56.1,6.7,0.1,0.2,2.3,0,NA,NA,NA,NA,NA,0,0
"GENOSMITH","Geno Smith","QB","NYJ",1,1,0.7,0.4,4.8,0,0,63.3,7.4,0.1,0.7,5.4,0,NA,NA,NA,NA,NA,0,0
"AUSTINDAVIS","Austin Davis","QB","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"ANDYDALTON","Andy Dalton","QB","CIN",1,1,33.1,19.6,257,2,1.2,59.2,7.8,4.5,12.7,2.8,0.3,NA,NA,NA,NA,NA,0.2,0
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",1,1,34.6,22.3,231,1.2,1.2,64.5,6.7,2.2,10.8,4.8,0,NA,NA,NA,NA,NA,0.2,0
"LANDRYJONES","Landry Jones","QB","PIT",1,1,0.2,0.1,1.5,0,0,70,8.9,0,0,0.4,0,NA,NA,NA,NA,NA,0,0
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",1,1,0.6,0.4,4.4,0,0,62,6.9,0.2,1,4.9,0,NA,NA,NA,NA,NA,0,0
"THADLEWIS","Thad Lewis","QB","PHI",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"TREVORSIEMIAN","Trevor Siemian","QB","DEN",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"TYRODTAYLOR","Tyrod Taylor","QB","BUF",1,1,32.5,20.7,236,1.6,0.8,63.7,7.3,6.3,38.8,6.2,0.3,NA,NA,NA,NA,NA,0.2,0
"DREWBREES","Drew Brees","QB","NO",1,1,39.9,27.6,323,2,1,69.2,8.1,1.6,2,1.3,0.1,NA,NA,NA,NA,NA,0.2,0
"RYANNASSIB","Ryan Nassib","QB","NYG",1,1,0,0,0.4,0,0,78,9.6,0,0,2,0,NA,NA,NA,NA,NA,0,0
"PHILIPRIVERS","Philip Rivers","QB","SD",1,1,37.5,25.7,301,2.2,1.2,68.5,8,1.2,2.9,2.4,0,NA,NA,NA,NA,NA,0.2,0
"SEANRENFREE","Sean Renfree","QB","ATL",1,1,0,0,0.3,0,0,69.4,8,0,0,0.4,0,NA,NA,NA,NA,NA,0,0
"JAMEISWINSTON","Jameis Winston","QB","TB",1,1,31.1,18.6,240,1.4,1.5,59.8,7.7,2.9,10.9,3.8,0.2,NA,NA,NA,NA,NA,0.2,0
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,39.8,24.9,292,1.7,1.4,62.6,7.3,1.1,2.2,2,0,NA,NA,NA,NA,NA,0.2,0
"MIKEGLENNON","Mike Glennon","QB","TB",1,1,0.6,0.4,4.8,0,0,60.9,7.9,0.1,0.3,2.7,0,NA,NA,NA,NA,NA,0,0
"BRANDONWEEDEN","Brandon Weeden","QB","DAL",1,1,0.4,0.3,3,0,0,59.9,7.1,0.1,0.4,3.3,0,NA,NA,NA,NA,NA,0,0
"ELIMANNING","Eli Manning","QB","NYG",1,1,37.2,26.3,286,1.9,0.7,70.7,7.7,1.2,4.2,3.4,0,NA,NA,NA,NA,NA,0.3,0
"JIMMYGAROPPOLO","Jimmy Garoppolo","QB","NE",1,1,0,0,0.3,0,0,65.9,6.8,0.1,0,-0.1,0,NA,NA,NA,NA,NA,0,0
"SEANMANNION","Sean Mannion","QB","STL",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"DAVIDFALES","David Fales","QB","CHI",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"TOMBRADY","Tom Brady","QB","NE",1,1,41.2,28.1,351,2.9,0.4,68.2,8.5,2.6,2.9,1.1,0.2,NA,NA,NA,NA,NA,0.2,0
"JAYCUTLER","Jay Cutler","QB","CHI",1,1,36.2,23.5,255,1.4,0.9,64.9,7,2.4,16.4,6.8,0.1,NA,NA,NA,NA,NA,0.2,0
"CAMNEWTON","Cam Newton","QB","CAR",1,1,31.1,16.6,220,1.3,1.4,53.4,7.1,8.1,43.9,5.4,0.4,NA,NA,NA,NA,NA,0.2,0
