"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","1","1.0","0.0","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","2","5","3.2","1.2","STEVENHAUSCHKA"
"3","Brandon McManus","3","7","4.6","1.4","BRANDONMCMANUS"
"4","Graham Gano","2","15","7.0","4.9","GRAHAMGANO"
"5","Mason Crosby","3","10","7.2","2.7","MASONCROSBY"
"6","Josh Brown","2","22","7.8","7.5","JOSHBROWN"
"7","Chandler Catanzaro","3","13","8.2","3.8","CHANDLERCATANZARO"
"8","Justin Tucker","4","18","10.6","6.2","JUSTINTUCKER"
"9","Blair Walsh","8","12","10.6","1.4","BLAIRWALSH"
"10","Robbie Gould","6","21","11.0","5.4","ROBBIEGOULD"
"11","Cairo Santos","6","17","11.4","4.6","CAIROSANTOS"
"12","Matt Bryant","8","11","9.8","1.1","MATTBRYANT"
"13","Josh Lambo","7","17","12.4","4.1","JOSHLAMBO"
"14","Dan Bailey","6","17","13.4","3.9","DANBAILEY"
"15","Adam Vinatieri","9","17","14.2","2.8","ADAMVINATIERI"
"16","Connor Barth","7","29","18.3","10.8","CONNORBARTH"
"17","Caleb Sturgis","10","22","16.0","4.5","CALEBSTURGIS"
"18","Chris Boswell","12","23","17.2","3.9","CHRISBOSWELL"
"19","Dan Carpenter","11","20","17.2","3.2","DANCARPENTER"
"20","Sebastian Janikowski","13","25","19.0","4.7","SEBASTIANJANIKOWSKI"
"21","Mike Nugent","15","24","19.6","2.9","MIKENUGENT"
"22","Jason Myers","12","32","24.5","8.0","JASONMYERS"
"23","Phil Dawson","13","28","21.7","6.3","PHILDAWSON"
"24","Matt Prater","14","26","21.7","5.4","MATTPRATER"
"25","Nick Novak","16","27","22.3","4.6","NICKNOVAK"
"26","Dustin Hopkins","18","28","24.5","3.8","DUSTINHOPKINS"
"27","Kai Forbath","19","29","23.0","4.3","KAIFORBATH"
"28","Greg Zuerlein","20","30","25.7","4.2","GREGZUERLEIN"
"29","Travis Coons","20","27","24.0","2.9","TRAVISCOONS"
"30","Randy Bullock","21","28","24.5","3.5","RANDYBULLOCK"
"31","Andrew Franks","23","31","28.0","3.6","ANDREWFRANKS"
"32","Ryan Succop","30","32","31.0","0.8","RYANSUCCOP"
