displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
Jamaal Charles,KC,21.0,100.0,1.0,4.0,35.0,0.0,0.0
Mark Ingram,NO,22.0,95.0,1.0,2.0,10.0,0.0,0.0
Jeremy Hill,CIN,18.0,86.0,1.0,3.0,20.0,0.0,0.0
LeSean McCoy,PHI,19.0,86.0,1.0,2.0,14.0,0.0,0.0
Marshawn Lynch,SEA,20.0,85.0,1.0,3.0,25.0,0.0,0.0
LeVeon Bell,PIT,18.0,85.0,1.0,5.0,38.0,0.0,0.0
Matt Forte,CHI,20.0,82.0,1.0,5.0,43.0,0.0,0.0
Alfred Morris,WAS,19.0,80.0,1.0,1.0,3.0,0.0,0.0
Rashad Jennings,NYG,18.0,74.0,0.0,4.0,32.0,0.0,0.0
Jerick McKinnon,MIN,16.0,72.0,0.0,2.0,16.0,0.0,0.0
Eddie Lacy,GB,16.0,71.0,1.0,4.0,36.0,0.0,0.0
Alfred Blue,HOU,17.0,70.0,0.0,3.0,22.0,0.0,0.0
Bishop Sankey,TEN,17.0,67.0,0.0,2.0,18.0,0.0,0.0
Frank Gore,SF,19.0,67.0,1.0,1.0,4.0,0.0,0.0
C.J. Anderson,DEN,15.0,64.0,0.0,3.0,23.0,0.0,0.0
Terrance West,CLE,16.0,63.0,0.0,2.0,13.0,0.0,0.0
Steven Jackson,ATL,16.0,60.0,1.0,2.0,10.0,0.0,0.0
Ryan Mathews,SD,15.0,60.0,1.0,2.0,10.0,0.0,0.0
Andre Ellington,ARI,17.0,59.0,0.0,5.0,40.0,0.0,0.0
Jonas Gray,NE,13.0,53.0,0.0,0.0,0.0,0.0,0.0
Lamar Miller,MIA,13.0,52.0,0.0,2.0,9.0,0.0,0.0
Joique Bell,DET,14.0,50.0,0.0,2.0,20.0,0.0,0.0
Anthony Dixon,BUF,11.0,49.0,0.0,1.0,8.0,0.0,0.0
DeAngelo Williams,CAR,12.0,48.0,0.0,2.0,11.0,0.0,0.0
Darren McFadden,OAK,13.0,46.0,0.0,3.0,27.0,0.0,0.0
Montee Ball,DEN,10.0,46.0,0.0,2.0,18.0,0.0,0.0
Trent Richardson,IND,11.0,45.0,0.0,2.0,19.0,0.0,0.0
Bryce Brown,BUF,10.0,44.0,0.0,5.0,49.0,0.0,0.0
Tre Mason,STL,13.0,44.0,0.0,4.0,23.0,0.0,0.0
Ahmad Bradshaw,IND,9.0,43.0,0.0,4.0,33.0,0.0,0.0
Jonathan Stewart,CAR,11.0,42.0,0.0,2.0,14.0,0.0,0.0
Bobby Rainey,TB,10.0,40.0,0.0,4.0,23.0,0.0,0.0
Charles Sims,TB,10.0,39.0,0.0,2.0,16.0,0.0,0.0
Carlos Hyde,SF,8.0,38.0,0.0,2.0,9.0,0.0,0.0
Branden Oliver,SD,8.0,37.0,0.0,2.0,16.0,0.0,0.0
Damien Williams,MIA,9.0,35.0,0.0,2.0,13.0,0.0,0.0
Isaiah Crowell,CLE,8.0,35.0,0.0,1.0,6.0,0.0,0.0
Ben Tate,MIN,9.0,30.0,1.0,2.0,13.0,0.0,0.0
James Starks,GB,7.0,29.0,0.0,1.0,2.0,0.0,0.0
Shane Vereen,NE,8.0,28.0,0.0,4.0,30.0,0.0,0.0
LeGarrette Blount,NE,6.0,27.0,0.0,1.0,2.0,0.0,0.0
Andre Williams,NYG,7.0,27.0,0.0,1.0,7.0,0.0,0.0
Matt Asiata,MIN,7.0,24.0,1.0,3.0,16.0,0.0,0.0
Christine Michael,SEA,3.0,23.0,0.0,1.0,3.0,0.0,0.0
Darren Sproles,PHI,3.0,22.0,0.0,4.0,31.0,0.0,0.0
Knile Davis,KC,7.0,21.0,0.0,0.0,1.0,0.0,0.0
Devonta Freeman,ATL,4.0,20.0,0.0,2.0,12.0,0.0,0.0
Jonathan Grimes,HOU,5.0,19.0,0.0,1.0,8.0,0.0,0.0
KaDeem Carey,CHI,4.0,19.0,0.0,0.0,1.0,0.0,0.0
Shonn Greene,TEN,5.0,18.0,0.0,0.0,0.0,0.0,0.0
Roy Helu,WAS,4.0,18.0,0.0,3.0,22.0,0.0,0.0
Robert Turbin,SEA,3.0,17.0,0.0,2.0,13.0,0.0,0.0
Benjamin Cunningham,STL,4.0,16.0,0.0,4.0,26.0,0.0,0.0
Theo Riddick,DET,4.0,14.0,0.0,4.0,37.0,0.0,0.0
Maurice Jones-Drew,OAK,4.0,14.0,0.0,1.0,5.0,0.0,0.0
DuJuan Harris,GB,3.0,12.0,0.0,1.0,2.0,0.0,0.0
Daniel Thomas,MIA,4.0,11.0,0.0,1.0,3.0,0.0,0.0
Mike James,TB,3.0,11.0,0.0,0.0,1.0,0.0,0.0
Chris Polk,PHI,2.0,11.0,0.0,0.0,0.0,0.0,0.0
Travaris Cadet,NO,2.0,9.0,0.0,3.0,27.0,0.0,0.0
Antone Smith,ATL,3.0,8.0,0.0,1.0,4.0,0.0,0.0
Juwan Thompson,DEN,2.0,8.0,0.0,0.0,1.0,0.0,0.0
DeAnthony Thomas,KC,1.0,7.0,0.0,2.0,19.0,0.0,0.0
Donald Brown,SD,2.0,6.0,0.0,1.0,3.0,0.0,0.0
Rex Burkhead,CIN,2.0,5.0,0.0,2.0,7.0,0.0,0.0
Marion Grice,SD,2.0,5.0,0.0,0.0,0.0,0.0,0.0
John Kuhn,GB,1.0,4.0,0.0,0.0,0.0,0.0,0.0
Stepfan Taylor,ARI,1.0,4.0,0.0,0.0,0.0,0.0,0.0
Leon Washington,TEN,1.0,4.0,0.0,3.0,18.0,0.0,0.0
Jacquizz Rodgers,ATL,1.0,4.0,0.0,2.0,14.0,0.0,0.0
Cedric Peerman,CIN,2.0,4.0,0.0,1.0,5.0,0.0,0.0
Jerome Felton,MIN,0.0,3.0,0.0,0.0,0.0,0.0,0.0
James White,NE,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Marcel Reece,OAK,1.0,3.0,0.0,2.0,9.0,0.0,0.0
Latavius Murray,OAK,1.0,3.0,0.0,1.0,3.0,0.0,0.0
Silas Redd,WAS,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Jed Collins,DET,0.0,1.0,0.0,1.0,7.0,0.0,0.0
Dri Archer,PIT,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Brandon Bolden,NE,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Frank Summers,BUF,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dexter McCluster,TEN,2.0,1.0,0.0,0.0,1.0,0.0,0.0
Dan Herron,IND,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Zac Stacy,STL,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Senorise Perry,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Prosch,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Watts,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Peterson,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapri Bibbs,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Fiammetta,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackie Battle,TEN,0.0,0.0,0.0,1.0,4.0,0.0,0.0
James Develin,NE,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Stanley Havili,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Miller,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Hughes,ARI,1.0,0.0,0.0,1.0,5.0,0.0,0.0
Darrel Young,WAS,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Patrick DiMarco,ATL,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Henry Hynoski,NYG,0.0,0.0,0.0,1.0,3.0,0.0,0.0
Anthony Sherman,KC,0.0,0.0,0.0,1.0,5.0,0.0,0.0
Will Johnson,PIT,0.0,0.0,0.0,1.0,3.0,0.0,0.0
Vick Ballard,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Banyard,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
