displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Tom Brady,NE,31.0,44.0,369.0,2.0,0.0,0.0,0.0,0.0
Jay Cutler,CHI,30.0,50.0,355.0,1.0,2.0,4.0,0.0,0.0
Joe Flacco,BAL,29.0,48.0,352.0,2.0,1.0,3.0,0.0,0.0
Drew Brees,NO,30.0,42.0,345.0,3.0,1.0,3.0,0.0,0.0
Matt Ryan,ATL,29.0,43.0,344.0,2.0,0.0,3.0,0.0,0.0
Andrew Luck,IND,31.0,47.0,338.0,2.0,1.0,20.0,0.0,0.0
Peyton Manning,DEN,26.0,37.0,335.0,2.0,0.0,0.0,0.0,0.0
Drew Stanton,ARI,23.0,38.0,330.0,2.0,1.0,3.0,0.0,0.0
Matthew Stafford,DET,26.0,36.0,330.0,2.0,0.0,3.0,0.0,0.0
Aaron Rodgers,GB,26.0,34.0,329.0,2.0,0.0,4.0,0.0,0.0
Andy Dalton,CIN,25.0,43.0,310.0,2.0,1.0,10.0,0.0,0.0
Nick Foles,PHI,25.0,38.0,310.0,2.0,0.0,10.0,0.0,0.0
Jake Locker,TEN,25.0,41.0,306.0,2.0,1.0,6.0,0.0,0.0
Josh McCown,TB,27.0,43.0,299.0,1.0,0.0,2.0,0.0,0.0
Ben Roethlisberger,PIT,24.0,37.0,294.0,2.0,1.0,3.0,0.0,0.0
Tony Romo,DAL,25.0,38.0,275.0,2.0,1.0,2.0,0.0,0.0
Chad Henne,JAC,23.0,35.0,267.0,1.0,0.0,3.0,0.0,0.0
Robert Griffin III,WAS,23.0,35.0,266.0,2.0,0.0,58.0,0.0,0.0
Philip Rivers,SD,23.0,35.0,260.0,1.0,1.0,2.0,0.0,0.0
Colin Kaepernick,SF,20.0,30.0,256.0,2.0,0.0,38.0,0.0,0.0
Eli Manning,NYG,21.0,36.0,247.0,1.0,1.0,1.0,0.0,0.0
Cam Newton,CAR,21.0,30.0,243.0,1.0,0.0,42.0,0.0,0.0
Ryan Fitzpatrick,HOU,22.0,32.0,239.0,1.0,1.0,12.0,0.0,0.0
Brian Hoyer,CLE,21.0,37.0,237.0,1.0,1.0,3.0,0.0,0.0
Matt Cassel,MIN,20.0,33.0,235.0,1.0,1.0,5.0,0.0,0.0
Alex Smith,KC,21.0,35.0,234.0,1.0,1.0,23.0,0.0,0.0
EJ Manuel,BUF,18.0,31.0,228.0,0.0,1.0,19.0,0.0,0.0
Russell Wilson,SEA,19.0,29.0,218.0,2.0,0.0,38.0,0.0,0.0
Austin Davis,STL,20.0,32.0,215.0,1.0,1.0,8.0,0.0,0.0
Derek Carr,OAK,19.0,32.0,214.0,1.0,1.0,6.0,0.0,0.0
Ryan Tannehill,MIA,20.0,35.0,212.0,2.0,1.0,10.0,0.0,0.0
Geno Smith,NYJ,18.0,31.0,210.0,1.0,1.0,26.0,0.0,0.0
Blaine Gabbert,SF,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Matt Flynn,GB,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Tyrod Taylor,BAL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Derek Anderson,CAR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
David Garrard,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Orlovsky,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Orton,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Campbell,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarvaris Jackson,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaun Hill,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Hasselbeck,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rex Grossman,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Schaub,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kellen Clemens,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Gradkowski,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Vick,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Whitehurst,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke McCown,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
