displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Aaron Rodgers,GB,29.0,47.0,356.0,2.0,0.0,5.0,0.0,0.0
Matthew Stafford,DET,26.0,41.0,355.0,2.0,1.0,4.0,0.0,0.0
Drew Brees,NO,30.0,42.0,328.0,2.0,1.0,3.0,0.0,0.0
Andrew Luck,IND,29.0,41.0,322.0,2.0,1.0,20.0,0.0,0.0
Jay Cutler,CHI,24.0,34.0,318.0,2.0,0.0,4.0,0.0,0.0
Nick Foles,PHI,23.0,37.0,311.0,2.0,1.0,10.0,0.0,0.0
Joe Flacco,BAL,27.0,43.0,309.0,1.0,1.0,3.0,0.0,0.0
Tom Brady,NE,25.0,34.0,301.0,2.0,0.0,0.0,0.0,0.0
Philip Rivers,SD,27.0,40.0,291.0,2.0,0.0,3.0,0.0,0.0
Ben Roethlisberger,PIT,23.0,38.0,284.0,1.0,1.0,3.0,0.0,0.0
Peyton Manning,DEN,23.0,37.0,283.0,2.0,1.0,0.0,0.0,0.0
Matt Ryan,ATL,22.0,34.0,274.0,2.0,0.0,4.0,0.0,0.0
Andy Dalton,CIN,24.0,36.0,271.0,1.0,0.0,10.0,0.0,0.0
Cam Newton,CAR,23.0,34.0,268.0,1.0,0.0,42.0,0.0,0.0
Austin Davis,STL,23.0,36.0,259.0,0.0,0.0,3.0,0.0,0.0
Ryan Tannehill,MIA,22.0,40.0,259.0,1.0,1.0,3.0,0.0,0.0
Drew Stanton,ARI,21.0,33.0,258.0,1.0,1.0,3.0,0.0,0.0
Brian Hoyer,CLE,22.0,40.0,256.0,1.0,1.0,3.0,0.0,0.0
Alex Smith,KC,23.0,35.0,249.0,1.0,0.0,17.0,0.0,0.0
Jake Locker,TEN,22.0,35.0,248.0,1.0,1.0,5.0,0.0,0.0
Kirk Cousins,WAS,21.0,35.0,246.0,1.0,0.0,6.0,0.0,0.0
Derek Carr,OAK,22.0,42.0,245.0,1.0,1.0,3.0,0.0,0.0
Eli Manning,NYG,23.0,42.0,245.0,1.0,2.0,3.0,0.0,0.0
Colin Kaepernick,SF,21.0,32.0,237.0,1.0,1.0,37.0,0.0,0.0
Tony Romo,DAL,21.0,35.0,230.0,1.0,1.0,3.0,0.0,0.0
Matt Cassel,MIN,19.0,31.0,226.0,1.0,1.0,2.0,0.0,0.0
Josh McCown,TB,20.0,33.0,221.0,1.0,1.0,3.0,0.0,0.0
EJ Manuel,BUF,19.0,31.0,215.0,1.0,1.0,11.0,0.0,0.0
Russell Wilson,SEA,17.0,26.0,207.0,1.0,0.0,22.0,0.0,0.0
Ryan Fitzpatrick,HOU,19.0,30.0,204.0,1.0,0.0,2.0,0.0,0.0
Chad Henne,JAC,19.0,32.0,186.0,1.0,1.0,4.0,0.0,0.0
Geno Smith,NYJ,19.0,32.0,183.0,1.0,1.0,30.0,0.0,0.0
Johnny Manziel,CLE,1.0,3.0,5.0,0.0,0.0,5.0,0.0,0.0
Shaun Hill,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Campbell,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Barkley,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Orton,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Orlovsky,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kellen Clemens,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Anderson,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Vick,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Whitehurst,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Garrard,NYJ,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0
Luke McCown,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rex Grossman,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Hasselbeck,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarvaris Jackson,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Gradkowski,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
