displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
Arian Foster,HOU,21.0,112.0,1.0,3.0,23.0,0.0,0.0
DeMarco Murray,DAL,24.0,109.0,1.0,3.0,17.0,0.0,0.0
Jerick McKinnon,MIN,17.0,92.0,1.0,3.0,13.0,0.0,0.0
Marshawn Lynch,SEA,20.0,87.0,1.0,3.0,18.0,0.0,0.0
Jamaal Charles,KC,18.0,86.0,1.0,4.0,19.0,0.0,0.0
Justin Forsett,BAL,18.0,84.0,0.0,3.0,23.0,0.0,0.0
LeSean McCoy,PHI,20.0,81.0,1.0,3.0,22.0,0.0,0.0
LeVeon Bell,PIT,16.0,77.0,0.0,6.0,47.0,0.0,0.0
Lamar Miller,MIA,17.0,74.0,1.0,2.0,18.0,0.0,0.0
Ben Tate,MIN,18.0,73.0,1.0,1.0,4.0,0.0,0.0
Ronnie Hillman,DEN,17.0,72.0,1.0,2.0,16.0,0.0,0.0
Branden Oliver,SD,17.0,72.0,0.0,3.0,26.0,0.0,0.0
Tre Mason,STL,15.0,68.0,0.0,2.0,14.0,0.0,0.0
Joique Bell,DET,16.0,68.0,1.0,3.0,15.0,0.0,0.0
Andre Ellington,ARI,16.0,67.0,0.0,6.0,54.0,0.0,0.0
Darren McFadden,OAK,15.0,65.0,1.0,2.0,12.0,0.0,0.0
Matt Forte,CHI,16.0,65.0,1.0,8.0,61.0,0.0,0.0
Ahmad Bradshaw,IND,15.0,63.0,0.0,5.0,34.0,0.0,0.0
Denard Robinson,JAC,16.0,63.0,0.0,2.0,14.0,0.0,0.0
Alfred Morris,WAS,16.0,63.0,0.0,1.0,5.0,0.0,0.0
Eddie Lacy,GB,14.0,62.0,1.0,2.0,11.0,0.0,0.0
Chris Ivory,NYJ,14.0,59.0,1.0,3.0,14.0,0.0,0.0
Mark Ingram,NO,16.0,57.0,1.0,1.0,5.0,0.0,0.0
Bryce Brown,BUF,13.0,56.0,0.0,3.0,18.0,0.0,0.0
Shane Vereen,NE,14.0,53.0,0.0,3.0,32.0,1.0,0.0
Jonathan Stewart,CAR,14.0,51.0,0.0,3.0,17.0,0.0,0.0
Doug Martin,TB,15.0,51.0,1.0,2.0,10.0,0.0,0.0
Giovani Bernard,CIN,12.0,46.0,0.0,5.0,45.0,0.0,0.0
Bishop Sankey,TEN,12.0,45.0,0.0,1.0,6.0,0.0,0.0
Anthony Dixon,BUF,11.0,41.0,0.0,2.0,11.0,0.0,0.0
Isaiah Crowell,CLE,10.0,35.0,1.0,1.0,3.0,0.0,0.0
Joseph Randle,DAL,8.0,34.0,0.0,1.0,2.0,0.0,0.0
Chris Johnson,NYJ,8.0,33.0,0.0,2.0,16.0,0.0,0.0
Bobby Rainey,TB,8.0,33.0,0.0,2.0,16.0,0.0,0.0
James Starks,GB,7.0,31.0,0.0,2.0,13.0,0.0,0.0
Shonn Greene,TEN,7.0,29.0,0.0,0.0,1.0,0.0,0.0
Steven Jackson,ATL,8.0,27.0,0.0,2.0,11.0,0.0,0.0
Knile Davis,KC,6.0,26.0,0.0,2.0,11.0,0.0,0.0
Jeremy Hill,CIN,6.0,26.0,0.0,2.0,21.0,0.0,0.0
Juwan Thompson,DEN,6.0,24.0,0.0,0.0,0.0,0.0,0.0
Benjamin Cunningham,STL,4.0,24.0,0.0,3.0,28.0,0.0,0.0
Daniel Thomas,MIA,6.0,23.0,0.0,1.0,11.0,0.0,0.0
Theo Riddick,DET,6.0,22.0,0.0,3.0,28.0,0.0,0.0
Dan Herron,IND,5.0,21.0,0.0,1.0,1.0,0.0,0.0
Alfred Blue,HOU,5.0,21.0,0.0,1.0,5.0,0.0,0.0
Jonas Gray,NE,5.0,20.0,0.0,0.0,0.0,0.0,0.0
LeGarrette Blount,NE,6.0,20.0,0.0,1.0,5.0,0.0,0.0
Matt Asiata,MIN,5.0,19.0,0.0,2.0,13.0,0.0,0.0
Roy Helu,WAS,3.0,17.0,0.0,3.0,24.0,0.0,0.0
Toby Gerhart,JAC,5.0,17.0,0.0,1.0,8.0,0.0,0.0
Maurice Jones-Drew,OAK,4.0,16.0,0.0,2.0,7.0,0.0,0.0
Stepfan Taylor,ARI,4.0,15.0,0.0,1.0,6.0,0.0,0.0
KaDeem Carey,CHI,3.0,14.0,0.0,1.0,2.0,0.0,0.0
Lorenzo Taliaferro,BAL,3.0,14.0,0.0,1.0,3.0,0.0,0.0
Terrance West,CLE,3.0,13.0,0.0,0.0,3.0,0.0,0.0
Christine Michael,SEA,3.0,12.0,0.0,0.0,0.0,0.0,0.0
Zac Stacy,STL,3.0,11.0,0.0,1.0,9.0,0.0,0.0
Devonta Freeman,ATL,2.0,11.0,0.0,3.0,25.0,0.0,0.0
Robert Turbin,SEA,3.0,11.0,0.0,1.0,7.0,0.0,0.0
Chris Ogbonnaya,NYG,3.0,9.0,0.0,1.0,5.0,0.0,0.0
Antone Smith,ATL,2.0,9.0,0.0,3.0,32.0,0.0,0.0
C.J. Anderson,DEN,2.0,9.0,0.0,0.0,1.0,0.0,0.0
Darrin Reaves,CAR,3.0,8.0,0.0,1.0,3.0,0.0,0.0
Travaris Cadet,NO,1.0,7.0,0.0,6.0,64.0,0.0,0.0
Mike James,TB,1.0,7.0,0.0,0.0,0.0,0.0,0.0
Trent Richardson,IND,15.0,7.0,0.0,0.0,3.0,0.0,0.0
