displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Tom Brady,NE,26.5,39.8,317.4,2.7,0.5,2.4,0.1,0.2
Drew Brees,NO,26.2,39.9,301.8,2.1,1.0,1.4,0.1,0.2
Philip Rivers,SD,25.3,38.6,300.9,2.3,0.9,1.7,0.0,0.2
Matt Ryan,ATL,25.8,38.1,290.5,1.8,0.8,5.7,0.0,0.2
Ben Roethlisberger,PIT,23.7,36.0,286.3,2.0,0.7,2.6,0.0,0.2
Peyton Manning,DEN,24.2,38.2,277.8,1.9,1.1,0.5,0.0,0.2
Eli Manning,NYG,24.2,37.0,275.2,2.1,0.8,3.8,0.0,0.3
Derek Carr,OAK,23.2,37.6,262.9,1.8,1.0,3.8,0.0,0.3
Jay Cutler,CHI,22.2,35.3,256.5,1.6,0.9,11.2,0.1,0.2
Kirk Cousins,WAS,22.4,36.1,256.4,1.2,1.4,3.0,0.1,0.2
Sam Bradford,PHI,23.7,38.2,256.3,1.4,0.9,3.9,0.0,0.3
Andy Dalton,CIN,21.5,34.9,253.9,2.0,0.8,11.0,0.1,0.2
Aaron Rodgers,GB,21.2,33.3,253.6,1.9,0.7,19.1,0.1,0.2
Andrew Luck,IND,22.8,39.2,253.1,1.6,1.5,16.8,0.1,0.3
Ryan Tannehill,MIA,22.7,37.0,244.6,1.5,1.2,10.7,0.0,0.2
Jameis Winston,TB,19.9,33.6,240.4,1.5,1.1,11.6,0.1,0.2
Blake Bortles,JAC,21.3,36.6,237.6,1.3,1.3,16.3,0.0,0.2
Ryan Fitzpatrick,NYJ,21.3,34.7,237.3,1.6,0.8,17.3,0.1,0.2
Marcus Mariota,TEN,19.3,31.2,236.0,1.5,0.9,14.9,0.1,0.3
Teddy Bridgewater,MIN,19.5,31.9,223.0,1.2,1.0,14.1,0.1,0.3
Cam Newton,CAR,17.9,31.3,221.6,1.3,1.0,38.6,0.4,0.2
Tyrod Taylor,BUF,19.2,31.4,218.6,1.5,1.0,25.8,0.2,0.2
Blaine Gabbert,SF,18.3,30.6,200.5,0.9,1.1,10.0,0.1,0.2
Matt Cassel,DAL,17.5,30.5,198.6,1.1,1.3,12.7,0.1,0.2
Nick Foles,STL,17.2,29.5,188.4,1.0,0.8,4.6,0.0,0.3
Johnny Manziel,CLE,15.4,26.1,175.8,0.9,1.0,19.4,0.1,0.2
Matthew Stafford,DET,12.1,19.4,138.2,1.0,0.5,2.4,0.0,0.0
Brian Hoyer,HOU,11.6,19.9,135.8,1.0,0.5,2.4,0.0,0.0
Carson Palmer,ARI,10.7,17.0,133.4,1.0,0.0,0.0,0.0,0.0
Alex Smith,KC,12.1,18.4,128.5,1.0,0.0,9.7,0.0,0.0
Joe Flacco,BAL,11.2,18.4,116.4,0.5,0.5,2.4,0.0,0.0
Russell Wilson,SEA,9.7,15.0,116.4,1.0,0.0,14.5,0.0,0.0
Colin Kaepernick,SF,6.6,11.2,78.1,0.3,0.4,10.1,0.0,0.1
Zach Mettenberger,TEN,5.3,8.8,60.4,0.4,0.3,2.4,0.0,0.0
Geno Smith,NYJ,5.0,8.0,57.3,0.3,0.2,3.9,0.1,0.2
Shaun Hill,MIN,0.9,1.2,9.2,0.0,0.0,0.2,0.0,0.0
Mark Sanchez,PHI,0.7,1.1,9.0,0.0,0.0,0.4,0.0,0.0
Mike Glennon,TB,0.7,0.9,8.0,0.0,0.0,0.3,0.0,0.0
Chad Henne,JAC,0.7,1.0,7.6,0.0,0.0,0.4,0.0,0.0
Case Keenum,STL,0.7,0.9,7.5,0.0,0.0,0.4,0.0,0.0
